grid_o,grid_d,i_raw,j_raw,tau_ij,tau_ji,tau_ff_ij,tau_ff_ji,tau_sym,lanes_ij,lanes_ji,xi_ij,xi_ji,xi_sym_ij,xi_sym_ji,asym_ratio,rank
sq_24_32,sq_25_32,780,831,17.786389691984194,5.322879519949929,5.989700471340142,4.476901360803345,11.554634605967061,3.5816185343778812,3.2976236742188174,33.31895833063744,4.701496909865286,13.766236059908437,23.01494198294398,3.3414977035120845,36
sq_18_43,sq_18_44,477,478,5.275052999916733,17.461322979418977,5.1089204463645395,4.895441967129236,11.368187989667856,2.0,2.0,2.1355456683934078,27.087070779222238,10.30000868921291,11.241486035454988,3.31017014989131,37
sq_13_41,sq_14_41,199,255,5.7819910883221715,18.976297243404204,5.479775819841117,5.8545257738277865,12.379144165863188,2.0,2.0,2.232574033364526,22.263162947175296,10.624094876405886,9.27729103608733,3.281965840751716,38
sq_13_41,sq_13_42,199,200,18.976297243404204,5.7819910883221715,5.8545257738277865,5.479775819841117,12.379144165863188,2.0,2.0,22.263162947175296,2.232574033364526,9.27729103608733,10.624094876405886,3.281965840751716,39
sq_11_35,sq_12_35,85,139,18.942840215754643,5.846460189565887,4.802380685736254,4.527338166083323,12.394650202660266,2.0,2.0,33.29031699966128,3.3774707583998738,13.958435357845904,15.751565544657927,3.2400528869694045,40
sq_12_34,sq_12_35,138,139,5.8464601895677015,18.942840215760523,4.5273381660847285,4.802380685737744,12.394650202664112,2.0,2.0,3.3774707583998738,33.290316999661286,15.751565544657927,13.958435357845904,3.2400528869694045,41
sq_27_31,sq_28_31,931,981,7.642362891514703,24.428137328151344,6.185427292202478,6.096771979121629,16.035250109833022,2.447050800963424,2.771175047997185,3.7746482663741827,47.631053779963814,17.23460156268568,20.103426109703037,3.1964115908803343,42
sq_29_38,sq_29_39,1044,1045,19.827054535373417,6.210305303276506,4.480165142914927,4.096664829047631,13.018679919324962,2.0,2.0,42.14315859203307,4.691168757457828,17.797531220106066,21.379535550490363,3.1926054464524998,43
sq_31_36,sq_32_36,1173,1237,5.764951577819152,18.39708063552126,5.438808691976453,5.986434788471752,12.081016106670205,4.0,4.0,4.507000602206682,39.920932717010594,20.526043173491136,16.8627041086621,3.1911943035748394,44
sq_17_44,sq_17_45,424,425,4.310992243733154,13.685023243896609,3.713073805020126,4.088881929152843,8.998007743814881,4.0,2.0,5.431707101811311,23.774639989617704,24.535284570617453,10.068386959253695,3.1744485886724543,45
sq_18_37,sq_19_37,470,523,18.292739321166064,5.841176026993414,5.535893714494963,5.518439134753128,12.066957674079738,3.0836432554127304,3.1374248675371303,35.708795330890105,3.5249696171526113,15.22394962276111,15.590030566816028,3.131687734906656,46
sq_15_42,sq_15_43,312,313,7.008038756612083,21.811952299512857,6.197935435929849,6.169956256698912,14.40999552806247,2.0,2.0,2.5724837088566948,26.59659306138614,11.268966563175391,11.37393268190072,3.1124189030680354,47
sq_27_38,sq_28_38,938,988,5.538537121307563,16.810380147086807,5.037788164607188,5.5072359447376265,11.174458634197185,2.0,2.0,2.4286467940253527,19.685780664430936,10.233375503390864,8.525667175296203,3.035166105940649,48
sq_28_38,sq_29_38,988,1044,5.5385371213092816,16.810380147092022,5.0377881646087515,5.507235944739336,11.174458634200652,2.0,2.0,2.4286467940253527,19.685780664430926,10.233375503390864,8.5256671752962,3.0351661059406485,49
sq_20_47,sq_21_47,594,644,15.771467124321266,5.2101864146278265,5.3852985036064345,4.509758029469622,10.490826769474547,2.0,2.0,18.084446843195934,2.688522321792387,7.842824286407449,11.281717794461409,3.0270446907700235,50
