group,baseline_mean_dist_km,counterfactual_mean_dist_km,change_km,change_m,weighted_mean_hat,weighted_p10_hat_pct,weighted_p90_hat_pct
Residents,30.613832409529586,30.612942211605787,-0.0008901979237982971,-0.8901979237982971,-1.2724707017645616e-09,-0.012236849216535894,-0.011807297723276378
Workers,29.39552824798283,29.395947214083073,0.00041896610024139136,0.41896610024139136,9.93585161842879e-10,-0.005729926340336533,-0.005568803827198376
