node_aa,grid_id,chi_hat,l_r_hat,l_f_hat,l_R,l_F,l_R_new,l_F_new,lr_pct,lf_pct,dist_center_km,delta_residents,delta_workers
1,sq_10_16,0.9998669097242988,0.999881927022766,0.999942700736598,352.0,71.0,351.95843831201364,70.99593175229846,-0.011807297723398502,-0.005729926340203306,72.77631345321522,-0.041561687986359175,-0.0040682477015394625
2,sq_10_17,0.9998669097242988,0.9998795429716558,0.9999435596820812,264.0,114.0,263.96819934451713,113.99356580375725,-0.01204570283441786,-0.005644031791884885,71.24744828593433,-0.03180065548286848,-0.006434196242750545
3,sq_10_18,0.9998669097242988,0.9998805815862284,0.99994316638793,1075.0,646.0,1074.8716252051954,645.9632854866028,-0.011941841377161033,-0.005683361206998416,69.76118544689798,-0.1283747948045857,-0.03671451339721443
4,sq_10_19,0.9998669097242988,0.9998814704222984,0.9999428599397172,2948.0,1176.0,2947.6505748049353,1175.9328032891074,-0.011852957770164263,-0.005714006028278984,68.32030403790239,-0.3494251950646685,-0.06719671089263102
5,sq_10_20,0.9998669097242988,0.9998813438004654,0.9999428684067236,983.0,1018.0,982.8833609558575,1017.9418400380447,-0.011865619953455031,-0.005713159327636053,66.92773385822665,-0.11663904414251647,-0.0581599619553117
6,sq_10_21,0.9998669097242988,0.9998814916351788,0.9999428386434682,1133.0,890.0,1132.8657300226575,889.9491263926867,-0.011850836482119043,-0.005716135653177634,65.58655099785737,-0.1342699773424556,-0.05087360731329227
7,sq_10_22,0.9998669097242988,0.9998805634119752,0.9999432026418532,1441.0,739.0,1440.8278918766562,738.9580267523295,-0.011943658802482382,-0.0056797358146787325,64.29996979614573,-0.17210812334383263,-0.04197324767051214
8,sq_10_23,0.9998669097242988,0.9998815897932122,0.999942813199643,6473.0,2803.0,6472.233530731462,2802.839705398599,-0.011841020678782233,-0.005718680035704526,63.071330497751184,-0.7664692685375485,-0.16029460140089213
9,sq_10_24,0.9998669097242988,0.9998814716803645,0.9999428586747872,3557.0,2077.0,3556.5783947670566,2076.881317467533,-0.011852831963554689,-0.005714132521283943,61.90408193906846,-0.42160523294342056,-0.11868253246711902
10,sq_10_25,0.9998669097242988,0.999881839578038,0.9999427193280898,3123.0,3734.0,3122.6309850022126,3733.786113971087,-0.011816042196199916,-0.005728067191024255,60.801758644845215,-0.3690149977874171,-0.2138860289128388
11,sq_10_26,0.9998669097242988,0.9998813706289332,0.9999428870075832,1558.0,1069.0,1557.815175439878,1068.9389462111064,-0.011862937106676963,-0.00571129924168412,59.767951820146635,-0.1848245601220242,-0.06105378889355961
12,sq_10_27,0.9998669097242988,0.9998810521507168,0.9999430033555162,1723.0,877.0,1722.795052855685,876.9500139427877,-0.01189478492832352,-0.0056996644483775505,58.80627390004906,-0.20494714431492866,-0.04998605721232252
13,sq_10_28,0.9998669097242988,0.99988110593707,0.9999429782115276,1115.0,610.0,1114.867433119833,609.9652167090318,-0.011889406292997506,-0.0057021788472444435,57.92031657809699,-0.13256688016690532,-0.03478329096822108
14,sq_10_29,0.9998669097242988,0.9998794667917076,0.9999435447042756,359.0,342.0,358.956728578223,341.98069228886226,-0.01205332082924171,-0.005645529572440022,57.113602577676026,-0.043271421776978514,-0.01930771113774199
15,sq_10_30,0.9998669097242988,0.9998814473201156,0.999942871957302,2315.0,797.0,2314.7255505460676,796.9544689499697,-0.011855267988436502,-0.005712804269797367,56.38953185157524,-0.2744494539324478,-0.04553105003026303
16,sq_10_31,0.9998669097242988,0.999879151003251,0.9999454747622296,2214.0,2236.0,2213.732440321198,2235.8780815683454,-0.012084899674902339,-0.0054525237770386425,55.75132337440953,-0.26755967880217213,-0.12191843165464888
17,sq_10_32,0.9998669097242988,0.9992447745068972,1.0007195231323809,4936.0,6190.0,4932.272206966045,6194.453848189438,-0.07552254931028068,0.07195231323808837,55.20195419613691,-3.727793033955095,4.453848189437849
18,sq_10_33,0.9998669097242988,1.0002850449559582,0.9999400960879724,3948.0,4102.0,3949.125357486123,4101.754274152863,0.028504495595815804,-0.005990391202759238,54.744097903640295,1.1253574861229936,-0.24572584713678225
19,sq_10_34,0.9998669097242988,1.0023443356174817,0.9987523618281052,4146.0,1189.0,4155.71961547008,1187.5165582136171,0.23443356174817076,-0.12476381718947716,54.380065031905524,9.719615470079589,-1.4834417863828548
20,sq_10_35,0.9998669097242988,0.9999032433163982,0.9999309606048123,675.0,314.0,674.9346892385688,313.9783216299111,-0.009675668360176193,-0.006903939518765334,54.111748213408745,-0.06531076143119208,-0.02167837008892093
21,sq_10_36,0.9998669097242988,1.0020250469317722,0.9985891225268512,1929.0,1476.0,1932.9063155313886,1473.9175448496323,0.20250469317721898,-0.14108774731488305,53.94057489760359,3.9063155313886,-2.0824551503676503
22,sq_10_37,0.9998669097242988,0.9999029111763672,0.9999318179353478,1489.0,583.0,1488.8554347416107,582.9602498563078,-0.009708882363279603,-0.0068182064652200225,53.867470273855794,-0.14456525838932066,-0.03975014369223118
23,sq_10_39,0.9998669097242988,0.9998819270227663,0.999942700736598,465.0,102.0,464.94509606558637,101.994155475133,-0.011807297723365195,-0.005729926340203306,54.01652232098885,-0.054903934413630395,-0.005844524867001155
24,sq_10_40,0.9998669097242988,0.9999256549077564,0.999907498922866,402.0,352.0,401.97011327291807,351.96743962084884,-0.007434509224357733,-0.009250107713398847,54.23786603030731,-0.029886727081930076,-0.03256037915116394
25,sq_10_41,0.9998669097242988,0.9998476957768418,0.999959963111856,824.0,308.0,823.8745013201177,307.9876686384516,-0.015230422315815062,-0.004003688814402384,54.555674406200296,-0.12549867988229835,-0.012331361548376663
26,sq_10_42,0.9998669097242988,0.9998840071815408,0.9999415338199013,1100.0,626.0,1099.872407899695,625.9634001712582,-0.011599281845919851,-0.005846618009874849,54.96827363181079,-0.1275921003050371,-0.03659982874182788
