grid_o,grid_d,i_raw,j_raw,tau_ij,tau_ji,tau_ff_ij,tau_ff_ji,lanes_ij,lanes_ji,lane_source_ij,lane_source_ji,xi_ij,xi_ji,len_ij,len_ji,asym_ratio,slow_dir,lanes_slow,lanes_fast,lane_source_slow,lane_source_fast,tau_slow_obs,tau_fast_obs,tau_slow_new,tau_fast_new,tbar_slow,tbar_fast,rank
sq_29_38,sq_30_38,-1,-1,6.28419407019172,158.18592061864064,6.251962112267604,92.5822415318076,3.1962200049621,3.1962200049621,raw_edgeproj_len_weighted,raw_edgeproj_len_weighted,3.2300779242775453,9.579839952400143,4175.685526055725,59347.125377169206,25.172029834179618,ji,3.1962200049621,3.1962200049621,raw_edgeproj_len_weighted,raw_edgeproj_len_weighted,158.18592061864064,6.28419407019172,138.50826626475057,7.5470020827136945,0.875604261890478,1.2009498749429055,1
sq_28_16,sq_28_17,-1,-1,90.94761435985956,4.021245856739743,84.66170157318061,3.7172689833994865,3.1962200049621,2.0,raw_edgeproj_len_weighted,fallback_2,3.7014767296279096,2.349536107542974,76922.62813985064,3382.785230820466,22.616775397462533,ij,3.1962200049621,2.0,raw_edgeproj_len_weighted,fallback_2,90.94761435985956,4.021245856739743,84.66170157318061,5.639794300726349,0.9308842476966247,1.402499250642401,2
sq_1_32,sq_1_33,-1,-1,123.84479874899006,6.665707596090271,98.13862017387336,4.185467273910755,3.196220004962099,3.1962200049621,raw_edgeproj_len_weighted,raw_edgeproj_len_weighted,5.1485079439051935,8.294319094358169,81416.99072805066,2691.1292174929713,18.57939265467187,ij,3.196220004962099,3.1962200049621,raw_edgeproj_len_weighted,raw_edgeproj_len_weighted,123.84479874899006,6.665707596090271,108.43903359758424,8.005180703930586,0.875604261890478,1.2009498749429055,3
sq_25_45,sq_26_45,-1,-1,7.168365882882268,117.2574605357432,7.114813252106031,108.70752314281852,3.1962200049621003,3.1962200049620977,raw_edgeproj_len_weighted,raw_edgeproj_len_weighted,3.245713236960274,3.732635012820164,4720.428344057772,69700.53133980055,16.357627728761543,ji,3.1962200049620977,3.1962200049621003,raw_edgeproj_len_weighted,raw_edgeproj_len_weighted,117.2574605357432,7.168365882882268,108.70752314281852,8.608848110592449,0.9270840648103713,1.2009498749429053,4
sq_27_35,sq_28_35,-1,-1,17.45563437042288,221.204439435987,10.004002624923096,95.42469942748625,3.1962200049621003,3.1962200049620986,raw_edgeproj_len_weighted,raw_edgeproj_len_weighted,10.001157598017791,17.900291529282633,7229.171506078224,60574.528723680574,12.67238043269281,ji,3.1962200049620986,3.1962200049621003,raw_edgeproj_len_weighted,raw_edgeproj_len_weighted,221.204439435987,17.45563437042288,193.68754991924433,20.96334191420844,0.8756042618904779,1.2009498749429053,5
sq_32_42,sq_32_43,-1,-1,5.653962216106386,68.98934462749823,5.505921502945807,51.335760573953934,3.1962200049621003,3.1962200049621003,raw_edgeproj_len_weighted,raw_edgeproj_len_weighted,3.374808526216528,5.856977945414529,3298.320275022191,32504.706350499673,12.201946527157356,ji,3.1962200049621003,3.1962200049621003,raw_edgeproj_len_weighted,raw_edgeproj_len_weighted,68.98934462749823,5.653962216106386,60.4073641808684,6.790125216364877,0.875604261890478,1.2009498749429055,6
sq_8_35,sq_8_36,-1,-1,83.12827356741563,7.081394918162836,65.5210740709748,6.701266292132708,3.196220004962099,3.1962200049621,raw_edgeproj_len_weighted,raw_edgeproj_len_weighted,5.205420658087282,3.5788129417949923,46055.5867044968,5644.053811317622,11.738968738235833,ij,3.196220004962099,3.1962200049621,raw_edgeproj_len_weighted,raw_edgeproj_len_weighted,83.12827356741563,7.081394918162836,72.78747061922671,8.504400341388985,0.8756042618904781,1.2009498749429055,7
sq_15_52,sq_16_52,-1,-1,82.26862310838366,7.756511115949244,79.61716323765161,7.179060310501865,3.1962200049621,3.1962200049621,raw_edgeproj_len_weighted,raw_edgeproj_len_weighted,3.41815252810633,3.7453007804145444,49186.216674255265,5651.337120719147,10.606395308223007,ij,3.1962200049621,3.1962200049621,raw_edgeproj_len_weighted,raw_edgeproj_len_weighted,82.26862310838366,7.756511115949244,79.61716323765161,9.315181054692498,0.9677707032091819,1.2009498749429053,8
sq_37_33,sq_37_34,-1,-1,4.525174720784612,41.36265530493721,4.426524028703524,36.30985791880478,3.1962200049621003,3.196220004962101,raw_edgeproj_len_weighted,raw_edgeproj_len_weighted,3.343893968409408,4.174334054307272,3308.482047488572,23037.715685960055,9.140565360924985,ji,3.196220004962101,3.1962200049621003,raw_edgeproj_len_weighted,raw_edgeproj_len_weighted,41.36265530493721,4.525174720784612,36.30985791880478,5.434508015021077,0.877841561454849,1.2009498749429055,9
sq_24_45,sq_24_46,-1,-1,6.100118062699433,54.82289029778246,5.661720766425736,48.02683145970021,3.1962200049620995,3.1962200049620995,raw_edgeproj_len_weighted,raw_edgeproj_len_weighted,3.7239959020814473,4.191982274155343,3518.6601682043065,26580.448890376643,8.987185122368295,ji,3.1962200049620995,3.1962200049620995,raw_edgeproj_len_weighted,raw_edgeproj_len_weighted,54.82289029778246,6.100118062699433,48.02683145970021,7.325936024535843,0.8760361082539069,1.2009498749429055,10
sq_28_41,sq_29_41,-1,-1,18.19743485987985,160.26329438911898,10.130741822281395,85.96380685796963,3.1962200049621003,3.1962200049620995,raw_edgeproj_len_weighted,raw_edgeproj_len_weighted,10.614131505422753,11.454541305227528,5422.146579401244,55579.67280563117,8.806916778279218,ji,3.1962200049620995,3.1962200049621003,raw_edgeproj_len_weighted,raw_edgeproj_len_weighted,160.26329438911898,18.19743485987985,140.3272235917209,21.85420711925437,0.8756042618904779,1.2009498749429053,11
sq_21_44,sq_21_45,-1,-1,3.060696354624987,26.72847024892315,3.2206035823909662,25.858908298941845,3.1962200049621003,3.1962200049620995,raw_edgeproj_len_weighted,raw_edgeproj_len_weighted,3.1962200049621003,3.420352939912088,3906.7264363835966,31688.23736639667,8.732806901453662,ji,3.1962200049620995,3.1962200049621003,raw_edgeproj_len_weighted,raw_edgeproj_len_weighted,26.72847024892315,3.060696354624987,25.858908298941845,3.8677834695131037,0.9674668268747503,1.2636939511064322,12
sq_24_42,sq_24_43,-1,-1,9.142017692386275,74.9483829962809,6.662736066751823,60.87625901090226,3.1962200049620995,3.1962200049621003,raw_edgeproj_len_weighted,raw_edgeproj_len_weighted,6.11184622590121,4.894484701182127,4381.088739981272,33667.61711509754,8.198232110040651,ji,3.1962200049621003,3.1962200049620995,raw_edgeproj_len_weighted,raw_edgeproj_len_weighted,74.9483829962809,9.142017692386275,65.62512357334339,10.979105004397127,0.875604261890478,1.2009498749429055,13
sq_8_46,sq_9_46,-1,-1,4.584048092705851,36.42628567620169,5.123160799035491,35.83364717044918,3.1962200049621,3.1962200049621012,raw_edgeproj_len_weighted,raw_edgeproj_len_weighted,3.1962200049621,3.305481814185161,3523.150082084815,24444.865210693803,7.946314030641014,ji,3.1962200049621012,3.1962200049621,raw_edgeproj_len_weighted,raw_edgeproj_len_weighted,36.42628567620169,4.584048092705851,35.83364717044918,6.152659320914067,0.9837304711487592,1.3421890862585395,14
sq_22_41,sq_23_41,-1,-1,33.97999489197714,5.186286975636719,16.736177460165557,5.031739010866175,3.1962200049620995,3.1962200049620995,raw_edgeproj_len_weighted,raw_edgeproj_len_weighted,13.642595017105418,3.40063243512514,14071.129718191482,3311.7553720897617,6.5518925295886525,ij,3.1962200049620995,3.1962200049620995,raw_edgeproj_len_weighted,raw_edgeproj_len_weighted,33.97999489197714,5.186286975636719,29.75302834643186,6.228470694808937,0.8756042618904781,1.2009498749429055,15
sq_32_31,sq_33_31,-1,-1,8.09812739464045,52.266207711068766,5.790795886973632,6.364219874890804,3.1962200049621,3.1962200049620995,raw_edgeproj_len_weighted,raw_edgeproj_len_weighted,6.354659649628912,239.09060716476813,3543.915235352547,3604.157057760831,6.454110334897904,ji,3.1962200049620995,3.1962200049621,raw_edgeproj_len_weighted,raw_edgeproj_len_weighted,52.266207711068766,8.09812739464045,45.76451422466477,9.725445081865164,0.8756042618904779,1.2009498749429053,16
sq_8_33,sq_9_33,-1,-1,7.712412732830999,49.59512040681386,3.978964563030225,38.39516606332241,3.1962200049620995,3.196220004962101,raw_edgeproj_len_weighted,raw_edgeproj_len_weighted,12.405448438020578,5.400431552055951,3106.2562023739315,29338.596687004236,6.430558390073213,ji,3.196220004962101,3.1962200049620995,raw_edgeproj_len_weighted,raw_edgeproj_len_weighted,49.59512040681386,7.712412732830999,43.42569879717764,9.262221107001459,0.875604261890478,1.2009498749429053,17
sq_23_32,sq_24_32,-1,-1,3.4312652756960027,21.854930390477765,3.1856901219431784,16.557296366017894,3.1962200049621,3.1962200049621,raw_edgeproj_len_weighted,raw_edgeproj_len_weighted,3.7215537974996136,5.6452847942061055,3472.8922568044313,11547.042216533318,6.3693502642533755,ji,3.1962200049621,3.1962200049621,raw_edgeproj_len_weighted,raw_edgeproj_len_weighted,21.854930390477765,3.4312652756960027,19.13627019322206,4.120777603743048,0.875604261890478,1.2009498749429053,18
sq_27_49,sq_28_49,-1,-1,28.64460113159061,4.500395668834297,28.582510504470736,4.39820867607096,3.1962200049621003,3.1962200049621,raw_edgeproj_len_weighted,raw_edgeproj_len_weighted,3.210464175616284,3.350248079464259,26185.627870720207,3515.5638279036866,6.364907274699737,ij,3.1962200049621003,3.1962200049621,raw_edgeproj_len_weighted,raw_edgeproj_len_weighted,28.64460113159061,4.500395668834297,28.582510504470736,5.404749615680142,0.9978323794129779,1.2009498749429053,19
sq_11_40,sq_11_41,-1,-1,39.48778612657481,6.20550001440231,34.519163684402955,4.321450530686727,3.1962200049621,3.1962200049620995,raw_edgeproj_len_weighted,raw_edgeproj_len_weighted,4.2103089140871495,6.709029294743711,25183.652938791525,3501.9816980396504,6.363352837793543,ij,3.1962200049621,3.1962200049620995,raw_edgeproj_len_weighted,raw_edgeproj_len_weighted,39.48778612657481,6.20550001440231,34.57567382504859,7.452494466254652,0.8756042618904779,1.2009498749429055,20
sq_10_33,sq_10_34,-1,-1,6.634724748019198,40.268398193085474,6.874871350976802,34.025177127229114,3.1962200049621,3.196220004962101,raw_edgeproj_len_weighted,raw_edgeproj_len_weighted,3.1962200049621,4.514013072332867,4973.000289856993,23519.211548055333,6.069339682118333,ji,3.196220004962101,3.1962200049621,raw_edgeproj_len_weighted,raw_edgeproj_len_weighted,40.268398193085474,6.634724748019198,35.25918107736847,8.256375889204152,0.875604261890478,1.2444187517604404,21
sq_31_35,sq_31_36,-1,-1,211.8477758730512,34.96982344582028,121.01897555368046,30.00104917839479,3.196220004962099,3.1962200049620995,raw_edgeproj_len_weighted,raw_edgeproj_len_weighted,10.067850092407042,4.375462377728361,75026.90391796747,16361.491730286449,6.058016741241855,ij,3.196220004962099,3.1962200049620995,raw_edgeproj_len_weighted,raw_edgeproj_len_weighted,211.8477758730512,34.96982344582028,185.49481542646242,41.997005094033355,0.875604261890478,1.2009498749429055,22
sq_27_30,sq_27_31,-1,-1,76.66924126877787,12.977138581716286,36.38644283766805,8.431610063843872,3.1962200049620986,3.1962200049621,raw_edgeproj_len_weighted,raw_edgeproj_len_weighted,14.720364373503779,7.7336309912741745,28208.090584758353,5170.2813341856145,5.908023620615293,ij,3.1962200049620986,3.1962200049621,raw_edgeproj_len_weighted,raw_edgeproj_len_weighted,76.66924126877787,12.977138581716286,67.13191441085121,15.584892956828925,0.8756042618904779,1.2009498749429053,23
sq_28_16,sq_29_16,-1,-1,33.12929001610006,5.6613794417611905,27.5128235690478,5.202172399974952,3.1962200049621,3.1962200049621,raw_edgeproj_len_weighted,raw_edgeproj_len_weighted,4.676902499344363,3.80118034194064,25889.45622074137,4740.500789566955,5.85180526352318,ij,3.1962200049621,3.1962200049621,raw_edgeproj_len_weighted,raw_edgeproj_len_weighted,33.12929001610006,5.6613794417611905,29.00814753150287,6.799032932587436,0.8756042618904779,1.2009498749429053,24
sq_29_33,sq_29_34,-1,-1,29.465843270559503,171.10860770270838,19.83410410780949,61.00271788971543,3.1962200049620995,3.196220004962099,raw_edgeproj_len_weighted,raw_edgeproj_len_weighted,7.192893746436647,26.455196681329316,11192.554492834204,40059.526355489186,5.80701546979549,ji,3.196220004962099,3.1962200049620995,raw_edgeproj_len_weighted,raw_edgeproj_len_weighted,171.10860770270838,29.465843270559503,149.82342615063735,35.38700079086569,0.8756042618904781,1.2009498749429055,25
sq_27_34,sq_28_34,-1,-1,36.81289250451779,212.86089356816728,23.21975648856407,83.67688025433745,3.1962200049621,3.1962200049620972,raw_edgeproj_len_weighted,raw_edgeproj_len_weighted,8.217965089869924,21.65507131625181,14684.81503134297,53589.45033685662,5.782237664210829,ji,3.1962200049620972,3.1962200049621,raw_edgeproj_len_weighted,raw_edgeproj_len_weighted,212.86089356816728,36.81289250451779,186.38190559810272,44.21043864958726,0.875604261890478,1.2009498749429055,26
sq_24_46,sq_25_46,-1,-1,59.50685299321586,10.3521080616595,52.68329930421732,8.856447004109096,3.1962200049621003,3.196220004962099,raw_edgeproj_len_weighted,raw_edgeproj_len_weighted,4.102287061783445,4.400561728432903,29629.865694378594,5702.5834603200465,5.748283599705448,ij,3.1962200049621003,3.196220004962099,raw_edgeproj_len_weighted,raw_edgeproj_len_weighted,59.50685299321586,10.3521080616595,52.68329930421732,12.432362882045421,0.8853316324797673,1.2009498749429055,27
sq_37_31,sq_38_31,-1,-1,11.560034755477153,66.23548993565672,7.731158152802523,54.17497372357423,3.1962200049620995,3.1962200049621,raw_edgeproj_len_weighted,raw_edgeproj_len_weighted,7.288838882489545,4.8251831683452515,5013.809100247408,39753.95327398573,5.729696435754597,ji,3.1962200049621,3.1962200049620995,raw_edgeproj_len_weighted,raw_edgeproj_len_weighted,66.23548993565672,11.560034755477153,57.99607727606487,13.883022293925926,0.8756042618904778,1.2009498749429053,28
sq_12_23,sq_13_23,-1,-1,9.123307803501952,51.634416623893244,7.149219959863248,45.458925494367854,3.1962200049621,3.196220004962099,raw_edgeproj_len_weighted,raw_edgeproj_len_weighted,5.26783164823313,4.149516954722474,4520.632826783824,27616.90716838868,5.6596157595465035,ji,3.196220004962099,3.1962200049621,raw_edgeproj_len_weighted,raw_edgeproj_len_weighted,51.634416623893244,9.123307803501952,45.458925494367854,10.956635365681302,0.8803997114074539,1.2009498749429055,29
