group,distance_bin,mean_dist_km,weighted_mean_change_pct,node_count
Residents,inner,24.856069468386803,0.0016364737394905053,908
Residents,middle,48.186275927103786,-0.004562352489122151,907
Residents,outer,67.51537337127493,-0.01310202115034878,908
Workers,inner,24.677877772072804,-0.0024954139602646383,908
Workers,middle,47.85099908155111,0.014244865416374285,907
Workers,outer,67.64765527449012,-0.007854503341471824,908
