13.0,14.0,3.121148622335783e-05,4.159687434834433e-05
14.0,13.0,4.5801971700486334e-05,1.784634220881827e-05
14.0,15.0,5.062183759617541e-05,1.390233047290642e-05
15.0,14.0,2.1505128412812296e-05,3.327612069769019e-05
15.0,16.0,3.0279890121916702e-05,1.2627781589213781e-05
15.0,67.0,2.1245098081589238e-05,2.3914806594288e-05
16.0,15.0,2.0756251966821057e-05,1.9159342063121833e-05
16.0,18.0,1.932560683043301e-05,1.0979036956722753e-05
16.0,68.0,1.4908453533913885e-05,2.8685432651065575e-05
18.0,16.0,1.1559969992741384e-05,1.879622088794025e-05
18.0,19.0,1.93213775072659e-05,1.8749954024852583e-05
18.0,70.0,2.4474867983423288e-05,9.66845745431585e-06
19.0,71.0,3.493984786567888e-05,7.40396127172819e-06
19.0,18.0,3.5019767270044386e-05,1.172232461161473e-05
20.0,21.0,2.8556712499463924e-05,1.1278112420758235e-05
20.0,72.0,3.0104960965959027e-05,1.578915390248996e-05
21.0,22.0,2.338124230763562e-05,2.199716355873908e-05
21.0,20.0,1.5822082461252543e-05,2.3528930880743652e-05
21.0,73.0,3.346923057819317e-05,1.5224307131343253e-05
22.0,21.0,3.101903961820626e-05,1.2710366691522382e-05
22.0,23.0,2.4446844484130007e-05,2.658073886169778e-05
22.0,74.0,2.3542301815979634e-05,1.0440797806455267e-05
23.0,22.0,3.5071775625299234e-05,1.5103615823684396e-05
23.0,75.0,2.2865379698180177e-05,1.0869988513866274e-05
24.0,25.0,2.33694030392763e-05,1.2119477783081584e-05
24.0,76.0,4.010254326897679e-05,1.2846472041249154e-05
25.0,24.0,2.7825467005739888e-05,2.0646457654660207e-05
25.0,26.0,2.3309170510012027e-05,1.0403240860022855e-05
25.0,77.0,3.7362879546312876e-05,1.278667494865098e-05
26.0,25.0,2.2494511940474142e-05,1.6479505345894026e-05
26.0,27.0,2.613507612822845e-05,1.9822639353009755e-05
27.0,26.0,3.246061259074115e-05,1.6261287475592694e-05
27.0,29.0,3.093429458370717e-05,9.885695977473159e-06
27.0,79.0,2.623979513521329e-05,1.247676442424503e-05
29.0,30.0,2.221669599714522e-05,3.0037941098891962e-05
29.0,27.0,1.7020939070219328e-05,3.3864498640798357e-05
30.0,29.0,2.340144499512486e-05,7.976871098753327e-06
