13.0,14.0,3.0709007139856015e-05,4.093216712960064e-05
14.0,15.0,4.9804383858749047e-05,1.367621855605568e-05
14.0,13.0,4.653626681180635e-05,1.8136526663029713e-05
15.0,14.0,2.185431813432611e-05,3.381197398185198e-05
16.0,15.0,2.6948465040236422e-05,2.5329269655792827e-05
16.0,18.0,3.4337566156795816e-05,1.933993963227462e-05
15.0,16.0,3.8792796401835535e-05,1.517859903985476e-05
15.0,67.0,2.4286253817000326e-05,2.9222943097748458e-05
18.0,19.0,2.6220118475048527e-05,2.576366880343218e-05
18.0,16.0,2.032460476636472e-05,3.6295903525359386e-05
16.0,68.0,1.7935904935668663e-05,3.9594072365719375e-05
18.0,70.0,3.0595996310562494e-05,1.1969869798709686e-05
19.0,18.0,4.6244360870917465e-05,1.4559040398669001e-05
19.0,71.0,4.619963386000704e-05,8.02789694848474e-06
20.0,21.0,4.7360768944978757e-05,1.4595009943264187e-05
20.0,72.0,3.79678296880885e-05,1.816004375306804e-05
21.0,22.0,3.0473173292153367e-05,2.8709102207839095e-05
21.0,20.0,2.3422863574726357e-05,4.07966128195739e-05
21.0,73.0,4.779321700494382e-05,1.126848885550985e-05
22.0,21.0,5.185090772188287e-05,1.8045157995297632e-05
22.0,23.0,2.8193818431828154e-05,3.205968218034289e-05
22.0,74.0,4.084922312543882e-05,1.6196852488252538e-05
23.0,22.0,4.1615692147495894e-05,1.5122527141395888e-05
23.0,75.0,5.116286145765528e-05,1.8437365469504188e-05
24.0,76.0,5.81863615768502e-05,1.5222564691964715e-05
24.0,25.0,4.0723333668436817e-05,1.9408343346846994e-05
25.0,24.0,3.054992212564559e-05,2.2801248475743728e-05
25.0,26.0,3.900751472741359e-05,1.4798391246296292e-05
25.0,77.0,4.631328951461961e-05,1.3291574695859357e-05
26.0,25.0,3.694156286675466e-05,2.7211107976189626e-05
13.0,14.0,3.0709007139856015e-05,4.093216712960064e-05
14.0,13.0,4.653626681180635e-05,1.8136526663029713e-05
14.0,15.0,4.9804383858749047e-05,1.367621855605568e-05
15.0,14.0,2.185431813432611e-05,3.381197398185198e-05
15.0,16.0,3.8792796401835535e-05,1.517859903985476e-05
15.0,67.0,2.4286253817000326e-05,2.9222943097748458e-05
16.0,15.0,2.6948465040236422e-05,2.5329269655792827e-05
16.0,18.0,3.4337566156795816e-05,1.933993963227462e-05
16.0,68.0,1.7935904935668663e-05,3.9594072365719375e-05
18.0,16.0,2.032460476636472e-05,3.6295903525359386e-05
18.0,19.0,2.6220118475048527e-05,2.576366880343218e-05
18.0,70.0,3.0595996310562494e-05,1.1969869798709686e-05
13.0,14.0,3.0709007139856015e-05,4.093216712960064e-05
14.0,13.0,4.653626681180635e-05,1.8136526663029713e-05
14.0,15.0,4.9804383858749047e-05,1.367621855605568e-05
15.0,14.0,2.185431813432611e-05,3.381197398185198e-05
15.0,16.0,3.0419842480913928e-05,1.268707021173506e-05
15.0,67.0,2.0901582523925556e-05,2.353155239290679e-05
16.0,15.0,2.065856318584619e-05,1.9070725127728566e-05
16.0,18.0,1.8738968915592147e-05,1.0645852306281624e-05
16.0,68.0,1.587935010017851e-05,3.052606655618848e-05
18.0,16.0,1.19107964400166e-05,1.9366467282409256e-05
18.0,19.0,1.9325380636154583e-05,1.875157164034561e-05
18.0,70.0,2.24367686079739e-05,8.862960977546808e-06
19.0,18.0,3.501981482927745e-05,1.172178443460777e-05
19.0,71.0,3.493989291097726e-05,7.4039555463072e-06
20.0,21.0,2.8730129061835655e-05,1.1322931707489442e-05
20.0,72.0,3.200648915300286e-05,1.6812283303201073e-05
21.0,22.0,2.435617951491856e-05,2.2368419621678804e-05
21.0,20.0,1.5924570142601152e-05,2.3370787416430407e-05
21.0,73.0,2.6821056104414452e-05,7.717314664368974e-06
22.0,21.0,3.0513421850367386e-05,1.2382016202693935e-05
22.0,23.0,2.3606484953589527e-05,2.5723196756209362e-05
22.0,74.0,2.4052701968030683e-05,1.0679881679380582e-05
23.0,22.0,3.600794588140441e-05,1.5543694753537703e-05
23.0,75.0,2.4898847566949704e-05,1.1871151069969357e-05
24.0,25.0,2.476737592379721e-05,1.2889562530247357e-05
24.0,76.0,2.5516770556337146e-05,9.761979608930126e-06
25.0,26.0,2.3767617695829874e-05,1.0603413104525463e-05
25.0,24.0,2.6091544427554543e-05,1.9394995435988467e-05
25.0,77.0,3.73915986962249e-05,1.2790184401459969e-05
26.0,25.0,2.206554661203307e-05,1.6164455492190613e-05
26.0,27.0,2.707880551836584e-05,2.054223665385544e-05
27.0,26.0,3.127481464745459e-05,1.5671281310673574e-05
27.0,29.0,3.146860571405329e-05,1.0060043442087364e-05
27.0,79.0,2.790694194082736e-05,1.327509422965504e-05
29.0,27.0,1.6716144224208735e-05,3.327215107663013e-05
29.0,30.0,1.3197041657722696e-05,1.6466878802712537e-05
